cell_type,cells,avg_outdegree,median_outdegree,max_outdegree,total_outdegree
CT1,1,1141.0,1141.0,1141,1141
cL21,1,70.0,70.0,70,70
LC11,1,10.0,10.0,10,10
Li22,1,4.0,4.0,4,4
Li27,1,4.0,4.0,4,4
AN_multi_4,1,3.0,3.0,3,3
HSS,1,3.0,3.0,3,3
MeMe_e07,1,3.0,3.0,3,3
Tlp1,1,3.0,3.0,3,3
Li14,3,2.6667,2.0,4,8
LPT50,2,2.5,2.5,3,5
Li16,3,2.0,1.0,4,6
Li17,3,2.0,2.0,3,6
Lawf2,2,2.0,2.0,2,4
AVLP077,1,2.0,2.0,2,2
AVLP537,1,2.0,2.0,2,2
CB0732,1,2.0,2.0,2,2
CB1906,1,2.0,2.0,2,2
CB3667,1,2.0,2.0,2,2
CB3693,1,2.0,2.0,2,2
LC17,1,2.0,2.0,2,2
LPi01,1,2.0,2.0,2,2
LTe13,1,2.0,2.0,2,2
MeMe_e11,1,2.0,2.0,2,2
MeMe_e12,1,2.0,2.0,2,2
PVLP086,1,2.0,2.0,2,2
VS7,1,2.0,2.0,2,2
cLLPM02,1,2.0,2.0,2,2
cML01,1,2.0,2.0,2,2
LMa2,6,1.8333,1.0,5,11
Sm32,3,1.6667,1.0,3,5
LLPC1,2,1.5,1.5,2,3
Pm08,2,1.5,1.5,2,3
Pm09,2,1.5,1.5,3,3
TmY3,2,1.5,1.5,2,3
LPi05,6,1.3333,1.0,4,8
Tm3,12,1.25,1.0,3,15
Tm2,4,1.25,1.0,2,5
LC9,6,1.1667,1.0,3,7
Tm9,83,1.0723,1.0,3,89
Mi1,73,1.0548,1.0,3,77
T4a,27,1.0,1.0,1,27
LMt2,7,1.0,1.0,2,7
T2a,7,1.0,1.0,3,7
Tm1,7,1.0,1.0,1,7
CB2556,4,1.0,1.0,1,4
LLPt,4,1.0,1.0,2,4
Y11,4,1.0,1.0,1,4
Tm4,3,1.0,1.0,1,3
AVLP393,2,1.0,1.0,1,2
CB1395,2,1.0,1.0,1,2
CB1932,2,1.0,1.0,1,2
LMa5,2,1.0,1.0,1,2
Li10,2,1.0,1.0,1,2
MeTu4c,2,1.0,1.0,1,2
Mi4,2,1.0,1.0,2,2
PVLP033,2,1.0,1.0,1,2
Tlp14,2,1.0,1.0,1,2
Tm21,2,1.0,1.0,1,2
TmY4,2,1.0,1.0,1,2
AN_multi_28,1,1.0,1.0,1,1
AVLP120,1,1.0,1.0,1,1
AVLP302,1,1.0,1.0,1,1
AVLP394,1,1.0,1.0,1,1
AVLP436,1,1.0,1.0,1,1
CB0033,1,1.0,1.0,1,1
CB0749,1,1.0,1.0,1,1
CB2175,1,1.0,1.0,1,1
CB2238,1,1.0,1.0,1,1
CB2478,1,1.0,1.0,1,1
