scc_id,size,members,dag_indegree,dag_outdegree,dag_level,external_out_edges,external_in_edges,internal_edges,source_like_score,is_source_scc,is_source_like_hub
288,858,720575940599459782 720575940599733446 720575940600124169 720575940601672201 720575940602497726 720575940602928608 720575940603714652 720575940603873033 720575940604412896 720575940604413664 720575940604511776 720575940604699120 720575940604811692 720575940604828849 720575940604902921 720575940604946720 720575940605034161 720575940605334886 720575940605353905 720575940605413385 720575940605444966 720575940605793894 720575940606014898 720575940606319206 720575940606835074 720575940607047810 720575940607194290 720575940607353801 720575940607583939 720575940607784405 720575940607859804 720575940608115418 720575940608278537 720575940608350731 720575940608400139 720575940608492299 720575940608650507 720575940608708309 720575940608954307 720575940608983235 720575940609068227 720575940609195971 720575940609274819 720575940609293660 720575940609341141 720575940609351516 720575940609360323 720575940609620747 720575940609663812 720575940609798386 720575940609810013 720575940609898308 720575940610056654 720575940610345426 720575940610397486 720575940610445922 720575940610582392 720575940610814682 720575940610865614 720575940610876258 720575940610983634 720575940611173474 720575940611466389 720575940611748216 720575940611761521 720575940611773906 720575940612072677 720575940612082090 720575940612105690 720575940612125170 720575940612221669 720575940612235586 720575940612249442 720575940612255641 720575940612271786 720575940612561381 720575940612621999 720575940612651030 720575940612661418 720575940612669849 720575940612687382 720575940612695830 720575940612696728 720575940612740501 720575940612796330 720575940612896682 720575940612907672 720575940612945686 720575940612985775 720575940613037037 720575940613056218 720575940613248435 720575940613288499 720575940613292595 720575940613312423 720575940613342873 720575940613406114 720575940613534870 720575940613601426 720575940613718824 720575940613756778 720575940613804083 720575940613928676 720575940614036452 720575940614109892 720575940614212754 720575940614233263 720575940614270189 720575940614276002 720575940614276271 720575940614299047 720575940614303143 720575940614328978 720575940614332322 720575940614473622 720575940614557708 720575940614586124 720575940614598546 720575940614672786 720575940614687026 720575940614704290 720575940614708642 720575940614722198 720575940614722541 720575940614822621 720575940614829718 720575940614971550 720575940615056790 720575940615097962 720575940615142047 720575940615160991 720575940615171467 720575940615215170 720575940615223199 720575940615228482 720575940615230523 720575940615239285 720575940615247839 720575940615280962 720575940615329951 720575940615332246 720575940615362866 720575940615363295 720575940615473002 720575940615490450 720575940615630934 720575940615686486 720575940615745548 720575940615782962 720575940615788742 720575940615803954 720575940615918348 720575940615954282 720575940616122674 720575940616224414 720575940616238009 720575940616249461 720575940616302292 720575940616303774 720575940616369013 720575940616493115 720575940616503553 720575940616575062 720575940616594037 720575940616614978 720575940616643618 720575940616686225 720575940616740027 720575940616872331 720575940616904889 720575940616929595 720575940616989243 720575940617092957 720575940617145361 720575940617174758 720575940617185403 720575940617211351 720575940617212987 720575940617234132 720575940617251001 720575940617301177 720575940617303014 720575940617306324 720575940617378833 720575940617391249 720575940617396497 720575940617429131 720575940617512121 720575940617516729 720575940617614809 720575940617657205 720575940617721172 720575940617771803 720575940617783809 720575940617874781 720575940617904541 720575940617991764 720575940618008645 720575940618069721 720575940618082077 720575940618096411 720575940618143261 720575940618198395 720575940618270877 720575940618287064 720575940618366528 720575940618381981 720575940618481733 720575940618502841 720575940618549061 720575940618700504 720575940618818462 720575940618827318 720575940618925947 720575940618962136 720575940618984315 720575940618985432 720575940619060673 720575940619062693 720575940619087307 720575940619171604 720575940619181739 720575940619184461 720575940619209664 720575940619211480 720575940619233585 720575940619332312 720575940619367838 720575940619367872 720575940619466772 720575940619472344 720575940619528784 720575940619565003 720575940619608405 720575940619631158 720575940619670101 720575940619839821 720575940619868795 720575940619869051 720575940619925696 720575940619929765 720575940619988359 720575940620030633 720575940620090544 720575940620127041 720575940620136613 720575940620198127 720575940620274566 720575940620295105 720575940620336475 720575940620350191 720575940620353518 720575940620369323 720575940620387137 720575940620519173 720575940620550491 720575940620556225 720575940620611866 720575940620623469 720575940620637935 720575940620671367 720575940620680277 720575940620690768 720575940620714479 720575940620766561 720575940620766817 720575940620810406 720575940620864877 720575940620887535 720575940620910171 720575940620922748 720575940620980390 720575940621010785 720575940621023926 720575940621048240 720575940621050608 720575940621106368 720575940621124980 720575940621183508 720575940621185151 720575940621188161 720575940621250403 720575940621271974 720575940621336173 720575940621344169 720575940621377029 720575940621399284 720575940621412852 720575940621449686 720575940621454256 720575940621571149 720575940621605997 720575940621631690 720575940621636173 720575940621676817 720575940621690100 720575940621730584 720575940621745441 720575940621749492 720575940621766365 720575940621776645 720575940621776664 720575940621798945 720575940621817584 720575940621828488 720575940621915814 720575940621944712 720575940621945880 720575940621949022 720575940622028528 720575940622030106 720575940622044328 720575940622077052 720575940622086614 720575940622104745 720575940622107312 720575940622111058 720575940622135208 720575940622199105 720575940622218620 720575940622251945 720575940622268748 720575940622283786 720575940622298637 720575940622320861 720575940622361098 720575940622380554 720575940622383692 720575940622385869 720575940622409875 720575940622413055 720575940622420189 720575940622479228 720575940622497476 720575940622555094 720575940622591220 720575940622620705 720575940622684429 720575940622693119 720575940622776200 720575940622780296 720575940622877453 720575940622929688 720575940622930505 720575940622943314 720575940623002893 720575940623010345 720575940623021897 720575940623022005 720575940623036618 720575940623069208 720575940623070051 720575940623072809 720575940623096004 720575940623100906 720575940623116582 720575940623153546 720575940623153961 720575940623164307 720575940623166669 720575940623191757 720575940623214483 720575940623245706 720575940623278630 720575940623280127 720575940623289162 720575940623353226 720575940623421516 720575940623442824 720575940623460292 720575940623499814 720575940623551565 720575940623571383 720575940623640600 720575940623706549 720575940623725803 720575940623812622 720575940623813316 720575940623830857 720575940623864503 720575940623866153 720575940623869769 720575940623897066 720575940623936253 720575940623956221 720575940623970231 720575940623986439 720575940624051348 720575940624103861 720575940624167143 720575940624172220 720575940624203534 720575940624226795 720575940624280906 720575940624292938 720575940624313068 720575940624332012 720575940624335434 720575940624344516 720575940624377096 720575940624432615 720575940624434616 720575940624436238 720575940624439015 720575940624487954 720575940624492617 720575940624500151 720575940624564016 720575940624565006 720575940624623288 720575940624630252 720575940624631224 720575940624669621 720575940624671636 720575940624675512 720575940624677048 720575940624722731 720575940624740091 720575940624815079 720575940624858126 720575940624883495 720575940624922552 720575940624939865 720575940625006855 720575940625052659 720575940625085671 720575940625126635 720575940625171533 720575940625210130 720575940625233552 720575940625257805 720575940625467011 720575940625558160 720575940625641418 720575940625654759 720575940625672496 720575940625686801 720575940625769418 720575940625876226 720575940625883454 720575940625889155 720575940625923203 720575940625926448 720575940625929872 720575940625942372 720575940625952258 720575940625959780 720575940625968228 720575940626010652 720575940626122780 720575940626220588 720575940626277434 720575940626282371 720575940626292226 720575940626298364 720575940626345772 720575940626381356 720575940626397778 720575940626424005 720575940626427544 720575940626435459 720575940626502756 720575940626505226 720575940626507036 720575940626511557 720575940626553177 720575940626557839 720575940626565852 720575940626662686 720575940626676057 720575940626736808 720575940626740404 720575940626791293 720575940626835545 720575940626922754 720575940626946300 720575940626979621 720575940627010685 720575940627021612 720575940627023047 720575940627024069 720575940627062291 720575940627087930 720575940627090002 720575940627094346 720575940627108874 720575940627112748 720575940627116042 720575940627139410 720575940627147308 720575940627193481 720575940627212618 720575940627231498 720575940627254020 720575940627254532 720575940627259155 720575940627266054 720575940627323157 720575940627369237 720575940627372565 720575940627375106 720575940627378965 720575940627397507 720575940627398675 720575940627399445 720575940627407887 720575940627446549 720575940627464220 720575940627518468 720575940627550120 720575940627685419 720575940627757800 720575940627807877 720575940627814163 720575940627834311 720575940627842792 720575940627847428 720575940627887356 720575940627887888 720575940627901258 720575940627923185 720575940627945724 720575940628006897 720575940628029202 720575940628029306 720575940628033788 720575940628083530 720575940628090353 720575940628097768 720575940628110332 720575940628122186 720575940628126449 720575940628275817 720575940628324346 720575940628347774 720575940628376679 720575940628402682 720575940628455038 720575940628456091 720575940628523207 720575940628574658 720575940628608003 720575940628618106 720575940628621047 720575940628688745 720575940628694121 720575940628712448 720575940628742148 720575940628781315 720575940628856836 720575940628876647 720575940628917147 720575940628920219 720575940629048394 720575940629082684 720575940629180422 720575940629243191 720575940629254594 720575940629318351 720575940629380222 720575940629424758 720575940629435497 720575940629457786 720575940629473324 720575940629503319 720575940629525804 720575940629546959 720575940629558906 720575940629612158 720575940629624058 720575940629696727 720575940629704058 720575940629720311 720575940629730268 720575940629766759 720575940629767015 720575940629771308 720575940629820790 720575940629847808 720575940629851514 720575940629856556 720575940629872172 720575940629880108 720575940629892663 720575940629905255 720575940629908418 720575940629933762 720575940629989635 720575940630142521 720575940630268780 720575940630306007 720575940630320087 720575940630342907 720575940630343030 720575940630365689 720575940630382966 720575940630389445 720575940630390142 720575940630400374 720575940630420730 720575940630437228 720575940630465910 720575940630484311 720575940630532183 720575940630588367 720575940630645356 720575940630700684 720575940630706169 720575940630764793 720575940630766610 720575940630906130 720575940630930259 720575940630941714 720575940630996754 720575940631025995 720575940631088591 720575940631091730 720575940631107359 720575940631116847 720575940631138322 720575940631164316 720575940631167535 720575940631182592 720575940631235343 720575940631241002 720575940631251543 720575940631260175 720575940631284439 720575940631295483 720575940631310351 720575940631346892 720575940631378986 720575940631406587 720575940631527480 720575940631560504 720575940631575096 720575940631628345 720575940631637048 720575940631671889 720575940631696441 720575940631697000 720575940631716781 720575940631755746 720575940631829644 720575940631872569 720575940631888524 720575940632009007 720575940632025036 720575940632057425 720575940632068623 720575940632091812 720575940632111311 720575940632112211 720575940632114191 720575940632168612 720575940632200007 720575940632216290 720575940632411410 720575940632433000 720575940632483532 720575940632532536 720575940632534988 720575940632540620 720575940632541838 720575940632593735 720575940632613262 720575940632623943 720575940632632365 720575940632643501 720575940632675117 720575940632682067 720575940632712275 720575940632760933 720575940632799059 720575940632807085 720575940632813357 720575940632823912 720575940632826797 720575940632889645 720575940632903085 720575940633016019 720575940633243949 720575940633295571 720575940633303648 720575940633408869 720575940633432798 720575940633454305 720575940633529555 720575940633597285 720575940633641186 720575940633643490 720575940633664281 720575940633726364 720575940633908194 720575940633962853 720575940633981921 720575940634034457 720575940634086295 720575940634123219 720575940634215836 720575940634237791 720575940634346391 720575940634404322 720575940634421099 720575940634591851 720575940634600287 720575940634874815 720575940634922906 720575940634999231 720575940635061695 720575940635109983 720575940635187557 720575940635193195 720575940635220148 720575940635237044 720575940635252109 720575940635286196 720575940635350520 720575940635391480 720575940635430904 720575940635446264 720575940635503758 720575940635544973 720575940635675767 720575940635920820 720575940635927151 720575940635951471 720575940635981167 720575940636017527 720575940636088462 720575940636141943 720575940636240997 720575940636270181 720575940636348011 720575940636375182 720575940636384398 720575940636419502 720575940636906893 720575940636936282 720575940637242286 720575940637380062 720575940637406180 720575940637463262 720575940637539806 720575940637557481 720575940637625434 720575940637676777 720575940637728858 720575940637741402 720575940637752205 720575940637863401 720575940637867241 720575940637934682 720575940637942837 720575940638007642 720575940638016831 720575940638050788 720575940638125646 720575940638132058 720575940638137140 720575940638331974 720575940638335302 720575940638375494 720575940638396724 720575940638581080 720575940638601030 720575940638638820 720575940638641478 720575940638872765 720575940639044942 720575940639049038 720575940639067470 720575940639203300 720575940639210062 720575940639396003 720575940639501621 720575940639505240 720575940639508387 720575940639536291 720575940639544179 720575940639564147 720575940639584317 720575940639665469 720575940639681341 720575940639743310 720575940639754830 720575940639771008 720575940639916789 720575940639952000 720575940639963224 720575940640122240 720575940640152448 720575940640183936 720575940640238499 720575940640475856 720575940640500276 720575940640595252 720575940640625792 720575940640721141 720575940640753104 720575940640913037 720575940641178075 720575940641180123 720575940641276891 720575940641389275 720575940641400795 720575940641485709 720575940641577101 720575940641634612 720575940641672333 720575940641730549 720575940642007949 720575940642052749 720575940642057357 720575940642467636 720575940642648116 720575940642665101 720575940642763680 720575940642945844 720575940643466912 720575940643507104 720575940643520160 720575940643532704 720575940643533728 720575940643671456 720575940643696676 720575940643722440 720575940643754952 720575940644146030 720575940644164718 720575940644397092 720575940644596260 720575940645130775 720575940645277207 720575940645323630 720575940645426286 720575940645498734 720575940646051460 720575940646184995 720575940646496547 720575940646506019 720575940646527028 720575940646792739 720575940646797347 720575940646818868 720575940647437108 720575940647564932 720575940649335929 720575940649361785 720575940649760889 720575940650521209 720575940652151798 720575940653694881 720575940654910113 720575940658882945 720575940659599233 720575940659807361 720575940660312449,80,286,4,303,85,1730,424,False,True
398,5,720575940614594610 720575940621364872 720575940621780577 720575940623688461 720575940635684762,27,78,2,79,27,8,103,False,True
446,1,720575940638105968,0,4,0,4,0,0,8,True,True
428,1,720575940633090607,1,4,1,4,1,0,6,False,True
579,2,720575940624038438 720575940625098679,0,3,0,3,0,2,6,True,True
435,1,720575940623167838,0,3,0,3,0,0,6,True,True
542,1,720575940627271823,0,3,0,3,0,0,6,True,True
550,1,720575940621245805,0,3,0,3,0,0,6,True,True
566,1,720575940626381570,0,3,0,3,0,0,6,True,True
572,1,720575940622531060,0,3,0,3,0,0,6,True,True
