scc_id,size,members,dag_indegree,dag_outdegree,dag_level,external_out_edges,external_in_edges,internal_edges,source_like_score,is_source_scc,is_source_like_hub
288,858,10009 62078 77484 79449 79796 80142 80906 82194 82576 82979 83185 83462 83545 83713 83847 84718 84776 84861 85429 85716 86578 87106 87424 87479 87504 87583 87656 87873 87994 88095 88140 88266 88377 88406 88410 88815 88885 88915 88922 89092 89251 89262 89298 89901 90018 90077 90120 90171 90566 90707 90844 90900 90938 90952 90975 90991 91002 91288 91392 91469 91597 91804 91814 91845 91914 91955 92047 92114 92229 92254 92266 92412 92507 92593 92719 92740 92811 92911 93364 93454 93455 93499 93556 93720 93877 93923 93960 94089 94147 94190 94224 94296 94329 94432 94468 94482 94564 94567 94573 94668 94684 94886 94934 94975 94983 95235 95243 95270 95435 95528 95541 95556 95604 95629 95666 95677 95710 95811 95838 95940 96044 96151 96265 96434 96534 96565 96638 96676 96845 96884 96959 96972 97012 97079 97320 97359 97393 97415 97559 97610 97731 98037 98039 98042 98235 98245 98246 98409 98431 98461 98546 98625 98738 98788 98887 98965 99055 99133 99135 99137 99138 99166 99213 99423 99492 99561 99661 99748 99869 99897 99982 100165 100190 100226 100265 100302 100319 100396 100406 100425 100428 100442 100482 100620 100680 100731 100787 100799 100897 100981 101013 101016 101033 101187 101206 101226 101253 101707 101721 101857 101864 102031 102128 102182 102195 102220 102273 102295 102383 102409 102418 102421 102555 102605 102714 102765 102872 102977 103038 103152 103236 103313 103358 103365 103440 103510 103513 103527 103654 103706 103812 103955 103956 103985 104081 104227 104247 104337 104390 104447 104459 104519 104567 104689 104700 104763 104899 104999 105042 105165 105170 105228 105351 105386 105430 105531 105553 105677 105698 105718 105757 105834 105841 105862 105905 105995 106027 106031 106069 106093 106164 106191 106201 106389 106409 106512 106608 106664 106730 106922 106992 107044 107082 107105 107117 107132 107159 107170 107211 107442 107567 107833 107835 107843 107874 107922 107923 107964 108097 108223 108325 108346 108363 108683 108832 108876 108900 108904 108924 108948 108970 109001 109035 109097 109127 109134 109225 109244 109281 109424 109431 109569 109572 109589 109598 109617 109649 109831 109843 109912 109916 110002 110096 110182 110183 110203 110232 110244 110245 110252 110314 110348 110378 110386 110401 110433 110454 110609 110661 110711 110758 110762 110799 110804 110903 110938 110979 111065 111180 111279 111294 111298 111304 111323 111368 111401 111455 111464 111527 111550 111581 111588 111639 111755 111867 111918 111919 111931 111979 111983 112015 112027 112034 112052 112073 112179 112222 112241 112283 112298 112333 112344 112416 112425 112630 112710 112724 112744 112784 112801 113048 113082 113098 113139 113159 113257 113307 113420 113463 113568 113572 113598 113745 113750 113781 113813 113852 113915 113926 113934 114123 114144 114255 114306 114450 114473 114559 114595 114669 114743 114854 114856 114887 114899 114936 115214 115369 115402 115440 115487 115511 115583 115629 115673 115714 115759 115769 115844 115855 115929 115954 115964 116213 116217 116229 116290 116342 116381 116434 116681 116685 116691 116716 116874 116946 116968 116978 116999 117096 117151 117152 117156 117221 117267 117282 117320 117348 117430 117586 117600 117799 117835 117889 117899 117902 117911 117962 118018 118026 118042 118110 118133 118140 118145 118158 118258 118260 118513 118751 118752 118797 118835 118854 118893 118992 118994 119050 119079 119170 119243 119247 119288 119305 119398 119409 119603 119611 119651 119664 119911 119962 119996 120011 120081 120147 120289 120361 120427 120505 120533 120550 120566 120606 120621 120858 121020 121053 121124 121172 121264 121420 121519 121521 121524 121547 121587 121592 121851 121883 121914 121943 121967 122016 122079 122263 122330 122346 122447 122515 122637 122653 122675 122910 123010 123087 123133 123224 123300 123365 123368 123371 123405 123738 123759 123799 123828 123850 123863 123922 124089 124102 124119 124125 124127 124241 124332 124333 124335 124338 124382 124468 124519 124580 124670 124760 124801 124835 124867 124923 124938 125042 125101 125102 125234 125263 125359 125455 125468 125498 125569 125570 125581 125603 125618 125918 125993 126027 126063 126077 126224 126300 126327 126419 126435 126522 126601 126614 126617 126620 126892 127053 127068 127149 127273 127325 127634 127706 127733 127851 127897 127995 127999 128005 128064 128079 128127 128196 128218 128259 128272 128323 128360 128364 128396 128456 128592 128768 128906 128984 129212 129426 129478 129580 129588 129941 129942 130042 130043 130164 130305 130465 130541 130636 130644 130663 130882 130986 131310 131356 131361 131366 131380 131413 131416 131426 131737 131768 131847 132184 132290 132315 132430 132477 132532 132565 132620 132679 133251 133312 133461 133602 133616 133626 133629 133918 134011 134058 134175 134184 134207 134215 134287 134293 134327 134476 134580 134708 134735 134897 134908 134925 135101 135281 135288 135631 135680 135685 136081 136330 136375 136549 136556 136564 136599 136989 137082 137186 137286 137408 137418 137504 137608 137639 137735 137820 138340 138409 138868 138877 139033 139075 139484 139575 139658 139733 139791 139969 139979 139992 140269 140273 140549 140763 141051 141112 141396 141836 142071 142172 142502 142621 142785 142979 143028 143174 143885 144026 144157 144338 144978 145128 145258 145423 145453 145600 145628 145673 145922 145931 146032 146136 146390 146578 146976 147187 147627 148248 148318 148568 148696 149033 149252 149389 149457 149885 150308 150312 150339 150467 150955 151364 151600 151642 151822 151923 152413 152607 153053 153298 153494 153826 154018 154024 154667 155367 155396 156321 157366 157885 157978 157993 158373 158494 159556 160096 161524 161764 162231 162331 163245 164516 165531 165973 166131 166161 167568 173192 175660 179316 191276 191375 193779 199209 224743 525840 539983 546260 547912,80,286,4,303,85,1730,424,False,True
398,5,10046 10677 11064 11113 29991,27,78,2,79,27,8,103,False,True
446,1,58192,0,4,0,4,0,0,8,True,True
428,1,23701,1,4,1,4,1,0,6,False,True
579,2,86414 547712,0,3,0,3,0,2,6,True,True
435,1,93709,0,3,0,3,0,0,6,True,True
542,1,39754,0,3,0,3,0,0,6,True,True
550,1,114211,0,3,0,3,0,0,6,True,True
566,1,81553,0,3,0,3,0,0,6,True,True
572,1,69491,0,3,0,3,0,0,6,True,True
