row_index,triplet,left_graph,right_graph,heldout_graph,sample_size,sample_id,sampling_strategy,threeway_nodes,threeway_csv,graph_a,graph_b,graph_c,graph_a_nodes_in_raw,graph_b_nodes_in_raw,graph_c_nodes_in_raw,graph_a_duplicate_nodes,graph_b_duplicate_nodes,graph_c_duplicate_nodes,graph_a_edges_no_self_loops,graph_b_edges_no_self_loops,graph_c_edges_no_self_loops,iso_graph_a_b,iso_graph_a_c,iso_graph_b_c,raw_directed_induced_threeway_isomorphic_no_self_loops,graph_a_weak_components,graph_a_largest_weak_component,graph_a_isolated_nodes_weak,graph_a_largest_weak_ratio,graph_a_strong_components,graph_a_largest_strong_component,graph_a_largest_strong_ratio,graph_b_weak_components,graph_b_largest_weak_component,graph_b_isolated_nodes_weak,graph_b_largest_weak_ratio,graph_b_strong_components,graph_b_largest_strong_component,graph_b_largest_strong_ratio,graph_c_weak_components,graph_c_largest_weak_component,graph_c_isolated_nodes_weak,graph_c_largest_weak_ratio,graph_c_strong_components,graph_c_largest_strong_component,graph_c_largest_strong_ratio,weak_components,largest_weak_component,isolated_nodes_weak,largest_weak_ratio,strong_components,largest_strong_component,largest_strong_ratio,edges_no_self_loops
18,fafb_783|manc_1.2.1|maol_1.1,fafb_783,maol_1.1,manc_1.2.1,20000,high_degree_bfs_seed1,high_degree_bfs,393,outputs/high_degree_bfs_20K/threeway_node_triplets/triplet_fafb_783--manc_1.2.1--maol_1.1__pair_fafb_783__maol_1.1__heldout_manc_1.2.1.n20000.high_degree_bfs_seed1.rank1.left_pattern__in__manc_1.2.1.threeway_nodes.csv,fafb_783,maol_1.1,manc_1.2.1,1,1,1,0,0,0,462,462,462,1,1,1,1,75,276,52,0.702290,326,58,0.147583,75,276,52,0.702290,326,58,0.147583,75,276,52,0.702290,325,58,0.147583,75,276,52,0.702290,326,58,0.147583,462
19,fafb_783|maol_1.1|mcns_0.9,fafb_783,maol_1.1,mcns_0.9,20000,high_degree_bfs_seed1,high_degree_bfs,989,outputs/high_degree_bfs_20K/threeway_node_triplets/triplet_fafb_783--maol_1.1--mcns_0.9__pair_fafb_783__maol_1.1__heldout_mcns_0.9.n20000.high_degree_bfs_seed1.rank1.left_pattern__in__mcns_0.9.threeway_nodes.csv,fafb_783,maol_1.1,mcns_0.9,1,1,1,0,0,0,1668,1668,1668,1,1,1,1,70,890,55,0.899899,517,463,0.468150,70,890,55,0.899899,516,463,0.468150,70,890,55,0.899899,517,463,0.468150,70,890,55,0.899899,517,463,0.468150,1668
20,fafb_783|manc_1.2.1|mcns_0.9,fafb_783,mcns_0.9,manc_1.2.1,20000,high_degree_bfs_seed1,high_degree_bfs,721,outputs/high_degree_bfs_20K/threeway_node_triplets/triplet_fafb_783--manc_1.2.1--mcns_0.9__pair_fafb_783__mcns_0.9__heldout_manc_1.2.1.n20000.high_degree_bfs_seed1.rank1.left_pattern__in__manc_1.2.1.threeway_nodes.csv,fafb_783,mcns_0.9,manc_1.2.1,1,1,1,0,0,0,593,593,593,1,1,1,1,263,429,238,0.595007,670,37,0.051318,263,429,238,0.595007,672,37,0.051318,263,429,238,0.595007,672,37,0.051318,263,429,238,0.595007,670,37,0.051318,593
21,fafb_783|manc_1.2.1|maol_1.1,fafb_783,manc_1.2.1,maol_1.1,20000,high_degree_bfs_seed1,high_degree_bfs,397,outputs/high_degree_bfs_20K/threeway_node_triplets/triplet_fafb_783--manc_1.2.1--maol_1.1__pair_fafb_783__manc_1.2.1__heldout_maol_1.1.n20000.high_degree_bfs_seed1.rank1.left_pattern__in__maol_1.1.threeway_nodes.csv,fafb_783,manc_1.2.1,maol_1.1,1,1,1,0,0,0,350,350,350,1,1,1,1,137,216,108,0.544081,340,46,0.115869,137,216,108,0.544081,341,46,0.115869,137,216,108,0.544081,341,46,0.115869,137,216,108,0.544081,340,46,0.115869,350
22,banc_626|maol_1.1|mcns_0.9,maol_1.1,mcns_0.9,banc_626,20000,high_degree_bfs_seed1,high_degree_bfs,807,outputs/high_degree_bfs_20K/threeway_node_triplets/triplet_banc_626--maol_1.1--mcns_0.9__pair_maol_1.1__mcns_0.9__heldout_banc_626.n20000.high_degree_bfs_seed1.rank1.left_pattern__in__banc_626.threeway_nodes.csv,maol_1.1,mcns_0.9,banc_626,1,1,1,0,0,0,1227,1227,1227,1,1,1,1,53,742,46,0.919455,419,371,0.459727,53,742,46,0.919455,420,371,0.459727,53,742,46,0.919455,418,371,0.459727,53,742,46,0.919455,419,371,0.459727,1227
23,fafb_783|manc_1.2.1|mcns_0.9,fafb_783,manc_1.2.1,mcns_0.9,20000,high_degree_bfs_seed1,high_degree_bfs,694,outputs/high_degree_bfs_20K/threeway_node_triplets/triplet_fafb_783--manc_1.2.1--mcns_0.9__pair_fafb_783__manc_1.2.1__heldout_mcns_0.9.n20000.high_degree_bfs_seed1.rank1.left_pattern__in__mcns_0.9.threeway_nodes.csv,fafb_783,manc_1.2.1,mcns_0.9,1,1,1,0,0,0,487,487,487,1,1,1,1,303,337,267,0.485591,645,30,0.043228,303,337,267,0.485591,645,30,0.043228,303,337,267,0.485591,645,30,0.043228,303,337,267,0.485591,645,30,0.043228,487
24,fafb_783|manc_1.2.1|maol_1.1,manc_1.2.1,maol_1.1,fafb_783,20000,high_degree_bfs_seed1,high_degree_bfs,500,outputs/high_degree_bfs_20K/threeway_node_triplets/triplet_fafb_783--manc_1.2.1--maol_1.1__pair_manc_1.2.1__maol_1.1__heldout_fafb_783.n20000.high_degree_bfs_seed1.rank1.left_pattern__in__fafb_783.threeway_nodes.csv,manc_1.2.1,maol_1.1,fafb_783,1,1,1,0,0,0,446,446,446,1,1,1,1,168,234,122,0.468000,427,50,0.100000,168,234,122,0.468000,427,50,0.100000,168,234,122,0.468000,426,50,0.100000,168,234,122,0.468000,427,50,0.100000,446
25,fafb_783|manc_1.2.1|mcns_0.9,manc_1.2.1,mcns_0.9,fafb_783,20000,high_degree_bfs_seed1,high_degree_bfs,765,outputs/high_degree_bfs_20K/threeway_node_triplets/triplet_fafb_783--manc_1.2.1--mcns_0.9__pair_manc_1.2.1__mcns_0.9__heldout_fafb_783.n20000.high_degree_bfs_seed1.rank1.left_pattern__in__fafb_783.threeway_nodes.csv,manc_1.2.1,mcns_0.9,fafb_783,1,1,1,0,0,0,552,552,552,1,1,1,1,303,334,238,0.436601,711,15,0.019608,303,334,238,0.436601,710,15,0.019608,303,334,238,0.436601,708,15,0.019608,303,334,238,0.436601,711,15,0.019608,552
26,fafb_783|maol_1.1|mcns_0.9,fafb_783,mcns_0.9,maol_1.1,20000,high_degree_bfs_seed1,high_degree_bfs,906,outputs/high_degree_bfs_20K/threeway_node_triplets/triplet_fafb_783--maol_1.1--mcns_0.9__pair_fafb_783__mcns_0.9__heldout_maol_1.1.n20000.high_degree_bfs_seed1.rank1.left_pattern__in__maol_1.1.threeway_nodes.csv,fafb_783,mcns_0.9,maol_1.1,1,1,1,0,0,0,1321,1321,1321,1,1,1,1,58,844,52,0.931567,604,296,0.326711,58,844,52,0.931567,604,296,0.326711,58,844,52,0.931567,604,296,0.326711,58,844,52,0.931567,604,296,0.326711,1321
27,fafb_783|maol_1.1|mcns_0.9,maol_1.1,mcns_0.9,fafb_783,20000,high_degree_bfs_seed1,high_degree_bfs,972,outputs/high_degree_bfs_20K/threeway_node_triplets/triplet_fafb_783--maol_1.1--mcns_0.9__pair_maol_1.1__mcns_0.9__heldout_fafb_783.n20000.high_degree_bfs_seed1.rank1.left_pattern__in__fafb_783.threeway_nodes.csv,maol_1.1,mcns_0.9,fafb_783,1,1,1,0,0,0,1435,1435,1435,1,1,1,1,74,864,59,0.888889,582,382,0.393004,74,864,59,0.888889,582,382,0.393004,74,864,59,0.888889,582,382,0.393004,74,864,59,0.888889,582,382,0.393004,1435
28,manc_1.2.1|maol_1.1|mcns_0.9,manc_1.2.1,maol_1.1,mcns_0.9,20000,high_degree_bfs_seed1,high_degree_bfs,498,outputs/high_degree_bfs_20K/threeway_node_triplets/triplet_manc_1.2.1--maol_1.1--mcns_0.9__pair_manc_1.2.1__maol_1.1__heldout_mcns_0.9.n20000.high_degree_bfs_seed1.rank1.left_pattern__in__mcns_0.9.threeway_nodes.csv,manc_1.2.1,maol_1.1,mcns_0.9,1,1,1,0,0,0,453,453,453,1,1,1,1,154,278,118,0.558233,438,33,0.066265,154,278,118,0.558233,440,33,0.066265,154,278,118,0.558233,441,33,0.066265,154,278,118,0.558233,438,33,0.066265,453
