triplet,left_graph,right_graph,heldout_graph,sample_size,sample_id,sampling_strategy,atomic_job_index,pair_rank,pair_returncode,pair_mcs_size,pair_valid,pattern_side,pattern_nodes,pattern_edges,third_returncode,third_mcs_size,third_valid_solution,external_valid_solution,threeway_nodes,threeway_edges,pattern_fully_present,threeway_csv,pair_csv,pair_stdout_log,third_stdout_log
banc_626|fafb_783|manc_1.2.1,banc_626,fafb_783,manc_1.2.1,20000,,,,,0,0,0,,,,,,,0,0,0,0,,,/home/saigum/snap/snapd-desktop-integration/315/Desktop/mcis_mcis_threeway/outputs/high_degree_bfs_seed1/pair_logs/triplet_banc_626--fafb_783--manc_1.2.1__pair_banc_626__fafb_783__heldout_manc_1.2.1.n20000.high_degree_bfs_seed1.stdout.log,
banc_626|fafb_783|maol_1.1,banc_626,fafb_783,maol_1.1,20000,,,,,0,0,0,,,,,,,0,0,0,0,,,/home/saigum/snap/snapd-desktop-integration/315/Desktop/mcis_mcis_threeway/outputs/high_degree_bfs_seed1/pair_logs/triplet_banc_626--fafb_783--maol_1.1__pair_banc_626__fafb_783__heldout_maol_1.1.n20000.high_degree_bfs_seed1.stdout.log,
banc_626|fafb_783|maol_1.1,banc_626,maol_1.1,fafb_783,20000,,,,,0,0,0,,,,,,,0,0,0,0,,,/home/saigum/snap/snapd-desktop-integration/315/Desktop/mcis_mcis_threeway/outputs/high_degree_bfs_seed1/pair_logs/triplet_banc_626--fafb_783--maol_1.1__pair_banc_626__maol_1.1__heldout_fafb_783.n20000.high_degree_bfs_seed1.stdout.log,
banc_626|fafb_783|maol_1.1,fafb_783,maol_1.1,banc_626,20000,,,,,0,0,0,,,,,,,0,0,0,0,,,/home/saigum/snap/snapd-desktop-integration/315/Desktop/mcis_mcis_threeway/outputs/high_degree_bfs_seed1/pair_logs/triplet_banc_626--fafb_783--maol_1.1__pair_fafb_783__maol_1.1__heldout_banc_626.n20000.high_degree_bfs_seed1.stdout.log,
banc_626|fafb_783|manc_1.2.1,fafb_783,manc_1.2.1,banc_626,20000,,,,,0,0,0,,,,,,,0,0,0,0,,,/home/saigum/snap/snapd-desktop-integration/315/Desktop/mcis_mcis_threeway/outputs/high_degree_bfs_seed1/pair_logs/triplet_banc_626--fafb_783--manc_1.2.1__pair_fafb_783__manc_1.2.1__heldout_banc_626.n20000.high_degree_bfs_seed1.stdout.log,
banc_626|fafb_783|manc_1.2.1,banc_626,manc_1.2.1,fafb_783,20000,,,,,0,0,0,,,,,,,0,0,0,0,,,/home/saigum/snap/snapd-desktop-integration/315/Desktop/mcis_mcis_threeway/outputs/high_degree_bfs_seed1/pair_logs/triplet_banc_626--fafb_783--manc_1.2.1__pair_banc_626__manc_1.2.1__heldout_fafb_783.n20000.high_degree_bfs_seed1.stdout.log,
banc_626|manc_1.2.1|maol_1.1,manc_1.2.1,maol_1.1,banc_626,20000,,,,,0,0,0,,,,,,,0,0,0,0,,,/home/saigum/snap/snapd-desktop-integration/315/Desktop/mcis_mcis_threeway/outputs/high_degree_bfs_seed1/pair_logs/triplet_banc_626--manc_1.2.1--maol_1.1__pair_manc_1.2.1__maol_1.1__heldout_banc_626.n20000.high_degree_bfs_seed1.stdout.log,
banc_626|manc_1.2.1|mcns_0.9,manc_1.2.1,mcns_0.9,banc_626,20000,,,,,0,0,0,,,,,,,0,0,0,0,,,/home/saigum/snap/snapd-desktop-integration/315/Desktop/mcis_mcis_threeway/outputs/high_degree_bfs_seed1/pair_logs/triplet_banc_626--manc_1.2.1--mcns_0.9__pair_manc_1.2.1__mcns_0.9__heldout_banc_626.n20000.high_degree_bfs_seed1.stdout.log,
banc_626|maol_1.1|mcns_0.9,banc_626,maol_1.1,mcns_0.9,20000,,,,,0,0,0,,,,,,,0,0,0,0,,,/home/saigum/snap/snapd-desktop-integration/315/Desktop/mcis_mcis_threeway/outputs/high_degree_bfs_seed1/pair_logs/triplet_banc_626--maol_1.1--mcns_0.9__pair_banc_626__maol_1.1__heldout_mcns_0.9.n20000.high_degree_bfs_seed1.stdout.log,
banc_626|manc_1.2.1|maol_1.1,banc_626,maol_1.1,manc_1.2.1,20000,,,,,0,0,0,,,,,,,0,0,0,0,,,/home/saigum/snap/snapd-desktop-integration/315/Desktop/mcis_mcis_threeway/outputs/high_degree_bfs_seed1/pair_logs/triplet_banc_626--manc_1.2.1--maol_1.1__pair_banc_626__maol_1.1__heldout_manc_1.2.1.n20000.high_degree_bfs_seed1.stdout.log,
